     1.284     0.768     0.232     1.000
     0.970     0.929     0.071     1.000
     1.296     0.759     0.241     1.000
     1.383     0.683     0.317     1.000
     1.212     0.820     0.180     1.000
     1.787     0.270     0.730     2.000
     1.144     0.859     0.141     1.000
     2.989     0.002     0.998     2.000
     2.283     0.041     0.959     2.000
     1.492     0.573     0.427     1.000
    -0.209     1.000     0.000     1.000
     0.531     0.989     0.011     1.000
     2.608     0.010     0.990     2.000
     1.835     0.231     0.769     2.000
     2.893     0.003     0.997     2.000
     1.981     0.137     0.863     2.000
     2.097     0.088     0.912     2.000
     2.747     0.006     0.994     2.000
     1.922     0.171     0.829     2.000
     2.736     0.006     0.994     2.000
     2.079     0.094     0.906     2.000
     1.679     0.372     0.628     2.000
     1.277     0.774     0.226     1.000
     1.493     0.572     0.428     1.000
     3.380     0.000     1.000     2.000
     2.696     0.007     0.993     2.000
     3.349     0.000     1.000     2.000
     0.794     0.966     0.034     1.000
     2.293     0.039     0.961     2.000
     1.884     0.196     0.804     2.000
     0.126     0.998     0.002     1.000
     0.461     0.992     0.008     1.000
     1.684     0.367     0.633     2.000
     2.663     0.008     0.992     2.000
     1.786     0.271     0.729     2.000
     3.484     0.000     1.000     2.000
     0.447     0.992     0.008     1.000
     2.145     0.072     0.928     2.000
     1.625     0.429     0.571     2.000
     3.299     0.001     0.999     2.000
     2.460     0.019     0.981     2.000
     2.388     0.026     0.974     2.000
     1.691     0.360     0.640     2.000
     2.607     0.010     0.990     2.000
     1.222     0.813     0.187     1.000
     1.973     0.141     0.859     2.000
     0.462     0.992     0.008     1.000
     2.298     0.038     0.962     2.000
     1.870     0.205     0.795     2.000
     1.272     0.778     0.222     1.000
     1.925     0.169     0.831     2.000
     1.476     0.590     0.410     1.000
     1.810     0.252     0.748     2.000
     0.438     0.993     0.007     1.000
     1.319     0.740     0.260     1.000
     2.393     0.026     0.974     2.000
     1.458     0.609     0.391     1.000
     1.219     0.816     0.184     1.000
     1.655     0.397     0.603     2.000
     1.028     0.910     0.090     1.000
     2.263     0.045     0.955     2.000
     0.822     0.961     0.039     1.000
     2.342     0.032     0.968     2.000
    -0.493     1.000     0.000     1.000
     0.092     0.998     0.002     1.000
     2.011     0.123     0.877     2.000
     2.699     0.007     0.993     2.000
     0.874     0.952     0.048     1.000
     0.877     0.952     0.048     1.000
     2.582     0.011     0.989     2.000
     2.622     0.010     0.990     2.000
     0.932     0.939     0.061     1.000
     0.446     0.992     0.008     1.000
     2.735     0.006     0.994     2.000
     1.932     0.165     0.835     2.000
     1.075     0.892     0.108     1.000
     3.314     0.000     1.000     2.000
     0.472     0.991     0.009     1.000
     3.036     0.002     0.998     2.000
     1.205     0.824     0.176     1.000
     1.865     0.209     0.791     2.000
     3.301     0.001     0.999     2.000
     1.475     0.591     0.409     1.000
     0.360     0.995     0.005     1.000
     2.112     0.083     0.917     2.000
     2.310     0.036     0.964     2.000
     2.022     0.118     0.882     2.000
     2.373     0.028     0.972     2.000
     1.892     0.190     0.810     2.000
     2.895     0.003     0.997     2.000
     0.784     0.967     0.033     1.000
     1.002     0.919     0.081     1.000
     2.174     0.064     0.936     2.000
     2.406     0.024     0.976     2.000
    -0.107     0.999     0.001     1.000
     3.003     0.002     0.998     2.000
     2.599     0.011     0.989     2.000
     1.164     0.849     0.151     1.000
     1.719     0.333     0.667     2.000
     1.095     0.884     0.116     1.000
     0.681     0.979     0.021     1.000
     2.497     0.016     0.984     2.000
